# Title: October 2023 - September 2024 Contiguous U.S. County Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
GA-235,Pulaski County,Georgia,66.1,1.5,114,64.6
GA-237,Putnam County,Georgia,64.8,2.5,122,62.3
GA-239,Quitman County,Georgia,66.1,1.3,111,64.8
GA-241,Rabun County,Georgia,58.4,2.2,125,56.2
GA-243,Randolph County,Georgia,66.2,1.4,111,64.8
GA-245,Richmond County,Georgia,65.4,2.1,120,63.4
GA-247,Rockdale County,Georgia,63.8,2.8,125,61.1
GA-249,Schley County,Georgia,65.6,1.8,118,63.8
GA-251,Screven County,Georgia,65.7,1.6,113,64.2
GA-253,Seminole County,Georgia,68,1.2,113,66.7
GA-255,Spalding County,Georgia,64.3,2.4,122,61.9
GA-257,Stephens County,Georgia,62.2,2,124,60.3
GA-259,Stewart County,Georgia,65.6,1.4,113,64.2
GA-261,Sumter County,Georgia,66.4,2,121,64.5
GA-263,Talbot County,Georgia,64.2,1.5,112,62.7
GA-265,Taliaferro County,Georgia,64.5,2.6,127,61.9
GA-267,Tattnall County,Georgia,67.3,1.5,115,65.9
GA-269,Taylor County,Georgia,64.9,1.6,116,63.3
GA-271,Telfair County,Georgia,67.2,1.9,122,65.3
GA-273,Terrell County,Georgia,66.6,1.6,116,65
GA-275,Thomas County,Georgia,67.7,1.4,114,66.2
GA-277,Tift County,Georgia,66.5,1.2,109,65.2
GA-279,Toombs County,Georgia,67.2,1.7,119,65.5
GA-281,Towns County,Georgia,57.7,2.5,126,55.2
GA-283,Treutlen County,Georgia,66.6,1.8,121,64.9
GA-285,Troup County,Georgia,63.6,2,122,61.6
GA-287,Turner County,Georgia,66.5,1.8,116,64.7
GA-289,Twiggs County,Georgia,65.5,1.5,113,64
GA-291,Union County,Georgia,57.7,2.2,126,55.4
GA-293,Upson County,Georgia,64.2,1.8,118,62.5
GA-295,Walker County,Georgia,61.3,2.2,123,59
GA-297,Walton County,Georgia,63.6,2.8,126,60.8
GA-299,Ware County,Georgia,68.7,2.2,121,66.4
GA-301,Warren County,Georgia,64.6,2.2,124,62.3
GA-303,Washington County,Georgia,65.6,2,122,63.6
GA-305,Wayne County,Georgia,67.9,1.8,116,66.2
GA-307,Webster County,Georgia,65.8,1.6,116,64.2
GA-309,Wheeler County,Georgia,67.1,1.8,121,65.3
GA-311,White County,Georgia,59.9,2.4,127,57.5
GA-313,Whitfield County,Georgia,62,2.5,127,59.5
GA-315,Wilcox County,Georgia,66.6,1.9,117,64.8
GA-317,Wilkes County,Georgia,64.6,3,129,61.6
GA-319,Wilkinson County,Georgia,65.7,1.7,116,64
GA-321,Worth County,Georgia,66.7,1.5,115,65.2
ID-001,Ada County,Idaho,53.3,2.3,125,51
ID-003,Adams County,Idaho,45.6,2.7,125,42.9
ID-005,Bannock County,Idaho,46.9,2.8,124,44
ID-007,Bear Lake County,Idaho,42.5,3.2,125,39.3
ID-009,Benewah County,Idaho,47.3,2.6,122,44.7
ID-011,Bingham County,Idaho,46.6,3.1,126,43.4
ID-013,Blaine County,Idaho,44.2,3.1,124,41.2
ID-015,Boise County,Idaho,45.3,2.6,124,42.7
ID-017,Bonner County,Idaho,45.4,2.8,125,42.6
ID-019,Bonneville County,Idaho,44.2,3.3,126,40.9
ID-021,Boundary County,Idaho,43.2,3,124,40.2
ID-023,Butte County,Idaho,43.8,3.2,125,40.6
ID-025,Camas County,Idaho,43.3,3.1,125,40.2
ID-027,Canyon County,Idaho,53.7,2.5,125,51.2
ID-029,Caribou County,Idaho,43.8,2.9,125,40.9
ID-031,Cassia County,Idaho,47.9,2.7,124,45.2
ID-033,Clark County,Idaho,42.2,3.2,125,39
ID-035,Clearwater County,Idaho,45.8,2.7,126,43
ID-037,Custer County,Idaho,40.3,3.2,127,37.1
ID-039,Elmore County,Idaho,48.9,2.9,125,46
ID-041,Franklin County,Idaho,46.4,3.4,125,43
ID-043,Fremont County,Idaho,42,3.5,127,38.5
ID-045,Gem County,Idaho,50.5,2,121,48.4
ID-047,Gooding County,Idaho,50.8,3.3,126,47.5
ID-049,Idaho County,Idaho,43.8,2.9,127,40.9
ID-051,Jefferson County,Idaho,45.8,3.7,127,42.1
ID-053,Jerome County,Idaho,51,3.5,126,47.5
ID-055,Kootenai County,Idaho,47.2,2.6,122,44.6
ID-057,Latah County,Idaho,48.1,2.7,123,45.4
ID-059,Lemhi County,Idaho,41.4,3.2,126,38.2
ID-061,Lewis County,Idaho,47.7,2.9,126,44.9
ID-063,Lincoln County,Idaho,49.1,3.9,126,45.2
ID-065,Madison County,Idaho,45.2,3.7,127,41.5
ID-067,Minidoka County,Idaho,48.5,3.3,125,45.2
ID-069,Nez Perce County,Idaho,50.9,3,126,48
ID-071,Oneida County,Idaho,48.2,3.3,125,44.9
ID-073,Owyhee County,Idaho,49.3,2.4,122,46.8
ID-075,Payette County,Idaho,53.3,2.9,127,50.4
ID-077,Power County,Idaho,47,2.2,119,44.8
ID-079,Shoshone County,Idaho,44.5,2.6,123,41.8
ID-081,Teton County,Idaho,41.9,3.2,127,38.6
ID-083,Twin Falls County,Idaho,49.3,2.5,123,46.8
ID-085,Valley County,Idaho,41.3,3.1,127,38.2
ID-087,Washington County,Idaho,49.5,2.3,122,47.2
IL-001,Adams County,Illinois,55.9,3.5,127,52.4
IL-003,Alexander County,Illinois,60.2,3.4,128,56.8
IL-005,Bond County,Illinois,57.6,3.6,128,54
IL-007,Boone County,Illinois,52,4.7,128,47.3
IL-009,Brown County,Illinois,55.6,3.5,128,52.1
IL-011,Bureau County,Illinois,53.3,4.3,128,49
IL-013,Calhoun County,Illinois,57.2,3.4,127,53.8
IL-015,Carroll County,Illinois,52.1,4.7,128,47.3
IL-017,Cass County,Illinois,55.4,3.2,125,52.3
IL-019,Champaign County,Illinois,54.9,4,128,50.9
IL-021,Christian County,Illinois,56.3,3.8,128,52.5
IL-023,Clark County,Illinois,56.7,4,128,52.7
IL-025,Clay County,Illinois,57.7,3.8,128,53.9
IL-027,Clinton County,Illinois,58.2,3.6,128,54.6
IL-029,Coles County,Illinois,55.9,3.7,128,52.2
IL-031,Cook County,Illinois,54,5.1,128,48.9
IL-033,Crawford County,Illinois,57.3,3.6,128,53.6
IL-035,Cumberland County,Illinois,56.6,3.7,128,52.8
IL-037,DeKalb County,Illinois,52.3,4.5,128,47.8
IL-039,De Witt County,Illinois,54.7,3.9,127,50.8
IL-041,Douglas County,Illinois,55.6,4,128,51.6
IL-043,DuPage County,Illinois,53.5,5,128,48.5
IL-045,Edgar County,Illinois,55.5,3.6,128,51.9
IL-047,Edwards County,Illinois,58.5,3.6,126,54.9
IL-049,Effingham County,Illinois,56.8,3.7,128,53.1
IL-051,Fayette County,Illinois,57.1,3.6,128,53.5
IL-053,Ford County,Illinois,54.1,4,128,50.1
IL-055,Franklin County,Illinois,58.7,3.4,128,55.3
IL-057,Fulton County,Illinois,55.3,4,128,51.3
IL-059,Gallatin County,Illinois,59.2,3,126,56.2
IL-061,Greene County,Illinois,56.7,3.1,128,53.5
IL-063,Grundy County,Illinois,53.9,4.6,128,49.3
IL-065,Hamilton County,Illinois,59,3.7,128,55.2
IL-067,Hancock County,Illinois,55.1,3.4,127,51.7
IL-069,Hardin County,Illinois,59.1,2.8,124,56.3
IL-071,Henderson County,Illinois,54.3,3.6,128,50.6
IL-073,Henry County,Illinois,53.4,4.3,128,49.2
IL-075,Iroquois County,Illinois,53.8,3.8,127,50
IL-077,Jackson County,Illinois,58.7,3.3,128,55.4
IL-079,Jasper County,Illinois,57.3,3.8,128,53.5
IL-081,Jefferson County,Illinois,58.6,3.7,128,54.9
IL-083,Jersey County,Illinois,57.5,3.5,128,54.1
IL-085,Jo Daviess County,Illinois,51.3,4.4,128,46.8
IL-087,Johnson County,Illinois,59.1,3.1,127,56
IL-089,Kane County,Illinois,52.6,4.6,128,48
IL-091,Kankakee County,Illinois,53.7,4.1,128,49.6
IL-093,Kendall County,Illinois,53.4,4.5,128,48.9
IL-095,Knox County,Illinois,53.9,4.1,128,49.9
IL-097,Lake County,Illinois,52.7,5.1,129,47.6
IL-099,LaSalle County,Illinois,53.3,4.2,128,49.1
IL-101,Lawrence County,Illinois,57.6,3.2,127,54.4
IL-103,Lee County,Illinois,52.7,4.6,128,48.1
IL-105,Livingston County,Illinois,54.2,4.6,128,49.7
IL-107,Logan County,Illinois,55.1,3.5,125,51.6
IL-109,McDonough County,Illinois,54.6,3.5,128,51.1
IL-111,McHenry County,Illinois,51.9,4.8,129,47.1
IL-113,McLean County,Illinois,54.5,4.5,127,50
IL-115,Macon County,Illinois,55.1,3.4,125,51.7
IL-117,Macoupin County,Illinois,56.8,3.6,128,53.2
IL-119,Madison County,Illinois,57.9,3.3,126,54.6
IL-121,Marion County,Illinois,57.8,3.6,128,54.1
IL-123,Marshall County,Illinois,54.3,4.5,128,49.8
IL-125,Mason County,Illinois,55.6,3.6,127,52
IL-127,Massac County,Illinois,60.2,3.4,126,56.8
IL-129,Menard County,Illinois,55.2,3.1,125,52.1
IL-131,Mercer County,Illinois,53.9,4.1,128,49.8
IL-133,Monroe County,Illinois,58.9,3.4,126,55.5
IL-135,Montgomery County,Illinois,56.9,3.9,128,53
IL-137,Morgan County,Illinois,55.7,3.3,127,52.4
IL-139,Moultrie County,Illinois,55.4,3.4,127,52
IL-141,Ogle County,Illinois,52.2,4.6,128,47.6
IL-143,Peoria County,Illinois,55.3,4.9,129,50.4
IL-145,Perry County,Illinois,58.4,3.4,127,55
IL-147,Piatt County,Illinois,55.1,4,128,51.1
IL-149,Pike County,Illinois,56.2,3.3,126,52.9
IL-151,Pope County,Illinois,59.2,3,125,56.3
IL-153,Pulaski County,Illinois,60.3,3.4,128,56.8
IL-155,Putnam County,Illinois,53.8,4,128,49.8
IL-157,Randolph County,Illinois,58.3,3.1,125,55.2
IL-159,Richland County,Illinois,57.6,3.4,128,54.2
IL-161,Rock Island County,Illinois,53.8,4.4,128,49.4
IL-163,St. Clair County,Illinois,58.3,3.1,126,55.2
IL-165,Saline County,Illinois,58.8,3,125,55.8
IL-167,Sangamon County,Illinois,55.7,3.4,126,52.3
IL-169,Schuyler County,Illinois,55.4,3.5,128,51.9
IL-171,Scott County,Illinois,56,3.1,126,52.9
IL-173,Shelby County,Illinois,55.9,3.3,127,52.6
IL-175,Stark County,Illinois,53.9,4.5,128,49.4
IL-177,Stephenson County,Illinois,51.4,4.6,128,46.7
IL-179,Tazewell County,Illinois,55.3,4.5,128,50.8
IL-181,Union County,Illinois,59,3.2,127,55.9
IL-183,Vermilion County,Illinois,54.4,3.3,126,51.1
IL-185,Wabash County,Illinois,58.4,3.4,128,54.9
IL-187,Warren County,Illinois,53.9,3.8,128,50.1
IL-189,Washington County,Illinois,58.2,3.4,128,54.8
IL-191,Wayne County,Illinois,58.7,4,127,54.7
IL-193,White County,Illinois,59.3,3.7,128,55.6
IL-195,Whiteside County,Illinois,53.2,4.7,128,48.4
IL-197,Will County,Illinois,53.6,4.3,128,49.3
IL-199,Williamson County,Illinois,58.6,3.1,127,55.4
IL-201,Winnebago County,Illinois,52.1,4.8,128,47.4
IL-203,Woodford County,Illinois,54.5,4.7,128,49.8
IN-001,Adams County,Indiana,54.1,4.5,128,49.6
IN-003,Allen County,Indiana,53.7,4.4,128,49.3
IN-005,Bartholomew County,Indiana,56.7,3.7,128,52.9
IN-007,Benton County,Indiana,53.4,3.6,127,49.8
IN-009,Blackford County,Indiana,54.4,4,127,50.4
IN-011,Boone County,Indiana,54,3.8,128,50.2
IN-013,Brown County,Indiana,55.9,3.7,128,52.2
IN-015,Carroll County,Indiana,53.9,3.7,127,50.2
IN-017,Cass County,Indiana,53.5,3.7,126,49.8
IN-019,Clark County,Indiana,58.2,3.9,128,54.4
IN-021,Clay County,Indiana,56.4,4.2,128,52.2
IN-023,Clinton County,Indiana,53.8,3.7,127,50.1
IN-025,Crawford County,Indiana,56.9,2.5,124,54.4
IN-027,Daviess County,Indiana,57.4,3.8,128,53.7
IN-029,Dearborn County,Indiana,56.7,3.9,128,52.8
IN-031,Decatur County,Indiana,55.9,3.6,127,52.4
IN-033,DeKalb County,Indiana,52.7,4.2,128,48.5
IN-035,Delaware County,Indiana,54.8,4.2,129,50.6
IN-037,Dubois County,Indiana,57.1,2.9,124,54.2
IN-039,Elkhart County,Indiana,52.8,4.6,128,48.1
IN-041,Fayette County,Indiana,54.8,3.7,128,51.1
IN-043,Floyd County,Indiana,58.4,3.9,128,54.5
IN-045,Fountain County,Indiana,54.1,3.2,126,50.9
IN-047,Franklin County,Indiana,55.6,3.6,128,51.9
IN-049,Fulton County,Indiana,53.2,4.3,128,48.9
IN-051,Gibson County,Indiana,58.6,3.5,128,55.1
IN-053,Grant County,Indiana,54.6,4.2,129,50.4
IN-055,Greene County,Indiana,56.7,4.1,128,52.6
IN-057,Hamilton County,Indiana,54.6,3.8,128,50.8
IN-059,Hancock County,Indiana,55.3,4,128,51.3
IN-061,Harrison County,Indiana,58.1,3.5,126,54.6
IN-063,Hendricks County,Indiana,54.8,3.8,128,51
IN-065,Henry County,Indiana,54.5,4.1,128,50.4
IN-067,Howard County,Indiana,54,3.8,127,50.2
IN-069,Huntington County,Indiana,53.9,4,128,49.9
IN-071,Jackson County,Indiana,57.1,3.8,128,53.3
IN-073,Jasper County,Indiana,53.4,4,128,49.4
IN-075,Jay County,Indiana,54.1,4.1,128,50
IN-077,Jefferson County,Indiana,57.5,4,128,53.6
IN-079,Jennings County,Indiana,56.9,3.7,128,53.3
IN-081,Johnson County,Indiana,55.8,4,128,51.9
IN-083,Knox County,Indiana,57.8,3.6,128,54.2
IN-085,Kosciusko County,Indiana,52.9,4.2,128,48.7
IN-087,LaGrange County,Indiana,52.5,4.5,128,48
IN-089,Lake County,Indiana,53.5,4.4,128,49.1
IN-091,LaPorte County,Indiana,53.1,4.4,129,48.7
IN-093,Lawrence County,Indiana,56.2,3.3,127,52.9
IN-095,Madison County,Indiana,54.9,4.1,127,50.9
IN-097,Marion County,Indiana,55.5,3.9,128,51.6
IN-099,Marshall County,Indiana,53.1,4.7,128,48.4
IN-101,Martin County,Indiana,56.8,3.6,128,53.2
IN-103,Miami County,Indiana,53.8,3.9,127,49.9
IN-105,Monroe County,Indiana,55.6,3.6,128,52.1
IN-107,Montgomery County,Indiana,54,3.6,127,50.4
IN-109,Morgan County,Indiana,55.7,3.8,128,51.9
IN-111,Newton County,Indiana,53.5,4,128,49.6
IN-113,Noble County,Indiana,52.5,4.1,128,48.4
IN-115,Ohio County,Indiana,57.6,4.3,129,53.3
IN-117,Orange County,Indiana,56.6,3.1,125,53.6
IN-119,Owen County,Indiana,56.1,4.1,128,52
IN-121,Parke County,Indiana,54.6,3,125,51.6
IN-123,Perry County,Indiana,57.1,1.8,120,55.3
IN-125,Pike County,Indiana,57.9,3.5,128,54.4
IN-127,Porter County,Indiana,53.1,4.3,128,48.8
IN-129,Posey County,Indiana,59.2,3.2,126,56.1
IN-131,Pulaski County,Indiana,53.2,4.1,128,49.1
IN-133,Putnam County,Indiana,54.7,3.4,127,51.3
IN-135,Randolph County,Indiana,53.9,4,126,49.9
IN-137,Ripley County,Indiana,56.2,3.7,128,52.4
IN-139,Rush County,Indiana,55.3,3.9,128,51.4
IN-141,St. Joseph County,Indiana,53.1,4.8,128,48.2
IN-143,Scott County,Indiana,57.7,3.9,128,53.7
IN-145,Shelby County,Indiana,56.2,4,128,52.2
IN-147,Spencer County,Indiana,58,2.3,123,55.7
IN-149,Starke County,Indiana,53.3,4.5,128,48.8
IN-151,Steuben County,Indiana,52.2,4.5,128,47.7
IN-153,Sullivan County,Indiana,57.4,4.4,128,53.1
IN-155,Switzerland County,Indiana,58,4.4,129,53.6
IN-157,Tippecanoe County,Indiana,54.1,3.7,127,50.4
IN-159,Tipton County,Indiana,54.2,3.9,127,50.3
IN-161,Union County,Indiana,54.6,3.5,126,51.1
IN-163,Vanderburgh County,Indiana,59.2,3.3,126,55.9
IN-165,Vermillion County,Indiana,54.9,3.1,125,51.8
IN-167,Vigo County,Indiana,56.7,4.2,128,52.5
IN-169,Wabash County,Indiana,53.8,3.9,127,49.9
IN-171,Warren County,Indiana,53.9,3.3,126,50.6
IN-173,Warrick County,Indiana,58.5,3.2,127,55.3
IN-175,Washington County,Indiana,57,3.7,128,53.3
IN-177,Wayne County,Indiana,53.9,3.5,126,50.4
IN-179,Wells County,Indiana,54.1,4.3,128,49.8
IN-181,White County,Indiana,53.4,3.7,127,49.8
IN-183,Whitley County,Indiana,53,4,127,49
IA-001,Adair County,Iowa,52,3.5,127,48.5
IA-003,Adams County,Iowa,52.5,3.5,126,49.1
IA-005,Allamakee County,Iowa,49.5,4.2,127,45.3
IA-007,Appanoose County,Iowa,53.8,3.4,127,50.3
IA-009,Audubon County,Iowa,51.2,3.6,128,47.6
IA-011,Benton County,Iowa,51.2,3.9,127,47.3
IA-013,Black Hawk County,Iowa,51.4,4.8,128,46.6
IA-015,Boone County,Iowa,51.9,4.2,128,47.8
IA-017,Bremer County,Iowa,50.4,4.8,128,45.6
IA-019,Buchanan County,Iowa,50.4,4.3,128,46.1
IA-021,Buena Vista County,Iowa,50.4,4.4,128,45.9
IA-023,Butler County,Iowa,50.8,4.7,128,46
IA-025,Calhoun County,Iowa,51.2,4.3,128,46.9
IA-027,Carroll County,Iowa,51.5,4.4,128,47.1
IA-029,Cass County,Iowa,52.2,3.4,127,48.8
IA-031,Cedar County,Iowa,52.6,4.2,128,48.3
IA-033,Cerro Gordo County,Iowa,49.5,4.6,128,45
IA-035,Cherokee County,Iowa,50.3,4.2,128,46.1
IA-037,Chickasaw County,Iowa,49.2,4.4,128,44.8
IA-039,Clarke County,Iowa,53.5,3.9,128,49.6
IA-041,Clay County,Iowa,50.2,5,128,45.2
IA-043,Clayton County,Iowa,50,4,128,46
IA-045,Clinton County,Iowa,53,4.6,128,48.4
IA-047,Crawford County,Iowa,51.7,4.5,128,47.2
IA-049,Dallas County,Iowa,52.8,3.9,128,48.9
IA-051,Davis County,Iowa,53.8,3.3,127,50.5
IA-053,Decatur County,Iowa,53.9,3.9,128,50
IA-055,Delaware County,Iowa,50.4,4.3,128,46
IA-057,Des Moines County,Iowa,53.9,3.4,127,50.5
IA-059,Dickinson County,Iowa,49.7,5.2,128,44.5
IA-061,Dubuque County,Iowa,50.8,4.1,128,46.7
IA-063,Emmet County,Iowa,49.7,5.2,128,44.5
IA-065,Fayette County,Iowa,49.3,4.2,128,45.2
IA-067,Floyd County,Iowa,49.7,4.4,128,45.3
IA-069,Franklin County,Iowa,50.4,4.8,128,45.5
IA-071,Fremont County,Iowa,54,3,123,51
IA-073,Greene County,Iowa,51.6,3.9,128,47.7
IA-075,Grundy County,Iowa,51.2,4.6,128,46.6
IA-077,Guthrie County,Iowa,51.7,3.6,128,48.2
IA-079,Hamilton County,Iowa,50.7,4,128,46.7
IA-081,Hancock County,Iowa,49.6,4.5,128,45.1
IA-083,Hardin County,Iowa,51.1,4.7,128,46.5
IA-085,Harrison County,Iowa,52.6,3.9,127,48.8
IA-087,Henry County,Iowa,53.3,3,127,50.3
IA-089,Howard County,Iowa,48.3,4.6,128,43.7
IA-091,Humboldt County,Iowa,50.5,4.1,127,46.4
IA-093,Ida County,Iowa,51,4.3,128,46.7
IA-095,Iowa County,Iowa,52.5,4.3,128,48.2
IA-097,Jackson County,Iowa,52,4.4,128,47.6
IA-099,Jasper County,Iowa,52.9,4.3,128,48.6
IA-101,Jefferson County,Iowa,52.9,2.9,127,50
IA-103,Johnson County,Iowa,53,4.5,128,48.5
IA-105,Jones County,Iowa,51.5,4.3,128,47.2
IA-107,Keokuk County,Iowa,52.9,3.9,128,49
IA-109,Kossuth County,Iowa,50.2,4.9,128,45.2
IA-111,Lee County,Iowa,54.3,2.9,127,51.4
IA-113,Linn County,Iowa,51.6,4.4,128,47.2
IA-115,Louisa County,Iowa,54.1,4.2,128,49.9
IA-117,Lucas County,Iowa,53.4,3.6,127,49.8
IA-119,Lyon County,Iowa,49.3,4.1,127,45.2
IA-121,Madison County,Iowa,53.1,3.9,128,49.3
IA-123,Mahaska County,Iowa,53.5,4.2,128,49.3
IA-125,Marion County,Iowa,53.8,3.9,128,49.9
IA-127,Marshall County,Iowa,51.8,4.3,128,47.5
IA-129,Mills County,Iowa,53.6,3.2,124,50.3
IA-131,Mitchell County,Iowa,48.8,4.5,128,44.3
IA-133,Monona County,Iowa,51.8,3.8,127,48
IA-135,Monroe County,Iowa,53.8,3.6,127,50.1
IA-137,Montgomery County,Iowa,53,3.3,125,49.7
IA-139,Muscatine County,Iowa,53.3,3.9,128,49.4
IA-141,O&#039;Brien County,Iowa,49.9,4.5,128,45.4
IA-143,Osceola County,Iowa,49.3,4.7,128,44.6
IA-145,Page County,Iowa,53.5,3.2,123,50.3
IA-147,Palo Alto County,Iowa,50.3,4.9,128,45.3
IA-149,Plymouth County,Iowa,50.7,4.1,128,46.5
IA-151,Pocahontas County,Iowa,50.5,4.2,128,46.3
IA-153,Polk County,Iowa,53.3,4.1,128,49.2
IA-155,Pottawattamie County,Iowa,52.9,3.5,127,49.4
IA-157,Poweshiek County,Iowa,52.4,4.4,128,48
IA-159,Ringgold County,Iowa,53.6,4,128,49.6
IA-161,Sac County,Iowa,51.2,4.6,128,46.6
IA-163,Scott County,Iowa,53.6,4.7,128,48.9
IA-165,Shelby County,Iowa,51.8,3.8,128,48
IA-167,Sioux County,Iowa,49.9,4,127,45.9
IA-169,Story County,Iowa,52.1,4.4,128,47.7
IA-171,Tama County,Iowa,51.5,4.2,127,47.3
IA-173,Taylor County,Iowa,53.2,3.7,127,49.6
IA-175,Union County,Iowa,52.8,3.8,128,49
IA-177,Van Buren County,Iowa,53.4,2.6,125,50.9
IA-179,Wapello County,Iowa,53.5,3.5,127,50
IA-181,Warren County,Iowa,53.7,3.7,128,50
IA-183,Washington County,Iowa,53.2,4,128,49.2
IA-185,Wayne County,Iowa,53.5,3.5,127,50
IA-187,Webster County,Iowa,50.8,3.9,127,46.9
IA-189,Winnebago County,Iowa,49.1,4.5,128,44.6
IA-191,Winneshiek County,Iowa,49.2,4.9,128,44.3
IA-193,Woodbury County,Iowa,51.2,3.9,126,47.3
IA-195,Worth County,Iowa,48.9,4.5,128,44.4
IA-197,Wright County,Iowa,50,4.1,128,45.9
KS-001,Allen County,Kansas,58.7,2.7,124,56
KS-003,Anderson County,Kansas,57.9,2.6,124,55.3
KS-005,Atchison County,Kansas,56.4,3.4,126,53
KS-007,Barber County,Kansas,60.2,3.6,128,56.6
KS-009,Barton County,Kansas,56.7,2.4,122,54.3
KS-011,Bourbon County,Kansas,58.8,2.7,123,56.1
KS-013,Brown County,Kansas,55.7,3.5,125,52.2
KS-015,Butler County,Kansas,59,3.3,128,55.6
KS-017,Chase County,Kansas,57.2,2.6,122,54.6
KS-019,Chautauqua County,Kansas,60.5,3.1,128,57.4
KS-021,Cherokee County,Kansas,60.4,2.9,126,57.5
KS-023,Cheyenne County,Kansas,54.3,3.6,126,50.7
KS-025,Clark County,Kansas,59.4,2.9,127,56.5
KS-027,Clay County,Kansas,56.8,3.2,124,53.6
KS-029,Cloud County,Kansas,56.9,3.7,126,53.2
KS-031,Coffey County,Kansas,58.9,3.8,127,55
KS-033,Comanche County,Kansas,59.6,3.1,126,56.5
KS-035,Cowley County,Kansas,60,3.2,128,56.9
KS-037,Crawford County,Kansas,59.7,2.9,124,56.7
KS-039,Decatur County,Kansas,54.3,3,125,51.3
KS-041,Dickinson County,Kansas,57.5,3.2,124,54.3
KS-043,Doniphan County,Kansas,56.3,3.4,126,53
KS-045,Douglas County,Kansas,57.9,3.5,126,54.4
KS-047,Edwards County,Kansas,57.5,2.7,123,54.8
KS-049,Elk County,Kansas,59.6,3.1,128,56.5
KS-051,Ellis County,Kansas,56.4,2.9,123,53.5
KS-053,Ellsworth County,Kansas,57.6,3.2,125,54.5
KS-055,Finney County,Kansas,56.7,3.2,126,53.4
KS-057,Ford County,Kansas,57.9,3.1,127,54.8
KS-059,Franklin County,Kansas,57.9,3.1,125,54.8
KS-061,Geary County,Kansas,57.2,3.2,124,54
KS-063,Gove County,Kansas,55.7,3,125,52.7
KS-065,Graham County,Kansas,55.2,2.4,121,52.7
KS-067,Grant County,Kansas,57.2,2.7,126,54.4
KS-069,Gray County,Kansas,57.3,3.1,127,54.2
KS-071,Greeley County,Kansas,54.5,2.7,125,51.8
KS-073,Greenwood County,Kansas,58.8,3.3,128,55.5
KS-075,Hamilton County,Kansas,56.2,2.7,125,53.5
KS-077,Harper County,Kansas,60.5,3.4,128,57.1
KS-079,Harvey County,Kansas,58.4,3,124,55.4
KS-081,Haskell County,Kansas,57.1,2.8,125,54.3
KS-083,Hodgeman County,Kansas,57.6,3.1,127,54.5
KS-085,Jackson County,Kansas,56.1,3.1,124,52.9
KS-087,Jefferson County,Kansas,57.1,3.5,126,53.6
KS-089,Jewell County,Kansas,55.3,3.2,125,52
KS-091,Johnson County,Kansas,58.1,3.8,128,54.3
KS-093,Kearny County,Kansas,56.6,3.2,125,53.4
KS-095,Kingman County,Kansas,59,2.8,125,56.2
KS-097,Kiowa County,Kansas,58.3,2.9,125,55.4
KS-099,Labette County,Kansas,60.2,2.6,126,57.6
KS-101,Lane County,Kansas,56.2,3.3,126,52.9
KS-103,Leavenworth County,Kansas,57.7,3.8,128,53.9
KS-105,Lincoln County,Kansas,57.4,3.5,125,53.8
KS-107,Linn County,Kansas,57.9,2.4,121,55.5
KS-109,Logan County,Kansas,55.4,3.2,126,52.3
KS-111,Lyon County,Kansas,58,3.6,126,54.4
KS-113,McPherson County,Kansas,57.9,3.1,123,54.7
KS-115,Marion County,Kansas,57.6,2.9,123,54.6
KS-117,Marshall County,Kansas,54.6,2.3,118,52.3
KS-119,Meade County,Kansas,58.7,2.8,127,55.9
KS-121,Miami County,Kansas,57.9,3.2,125,54.8
KS-123,Mitchell County,Kansas,56.3,3.2,125,53.1
KS-125,Montgomery County,Kansas,60.5,2.7,125,57.8
KS-127,Morris County,Kansas,56.7,2.9,123,53.8
KS-129,Morton County,Kansas,57.5,2.5,125,55
KS-131,Nemaha County,Kansas,54.7,2.7,121,52
KS-133,Neosho County,Kansas,59.6,2.8,126,56.8
KS-135,Ness County,Kansas,56.7,2.7,123,53.9
KS-137,Norton County,Kansas,54.3,2.6,123,51.7
KS-139,Osage County,Kansas,58,3.7,127,54.3
KS-141,Osborne County,Kansas,56.1,3,124,53.1
KS-143,Ottawa County,Kansas,57.5,3.6,124,53.9
KS-145,Pawnee County,Kansas,56.8,2.4,120,54.4
KS-147,Phillips County,Kansas,54.8,2.6,121,52.2
KS-149,Pottawatomie County,Kansas,56,2.8,122,53.2
KS-151,Pratt County,Kansas,58.3,2.9,125,55.4
KS-153,Rawlins County,Kansas,54.2,3.1,126,51.1
KS-155,Reno County,Kansas,58.2,2.7,124,55.6
KS-157,Republic County,Kansas,55.6,3.6,125,52.1
KS-159,Rice County,Kansas,57.5,2.6,122,54.8
KS-161,Riley County,Kansas,56.6,3,124,53.6
KS-163,Rooks County,Kansas,55.8,2.7,122,53.1
KS-165,Rush County,Kansas,56.5,2.5,122,54
KS-167,Russell County,Kansas,57.3,3.4,126,53.9
KS-169,Saline County,Kansas,58,3.5,124,54.5
KS-171,Scott County,Kansas,55.9,3.3,125,52.6
KS-173,Sedgwick County,Kansas,59.4,3.1,125,56.3
KS-175,Seward County,Kansas,58.1,2.6,126,55.4
KS-177,Shawnee County,Kansas,57.5,3.5,126,54
KS-179,Sheridan County,Kansas,54.6,2.7,124,51.9
KS-181,Sherman County,Kansas,54.3,3.7,127,50.6
